item_name,canonical_key,buddy_url,page_data_url,cache_file_name,current_status,http_status,source_status,fetched_at,evidence_age_days,recheck_state,suggested_recheck_date,recheck_reason,manual_next_action,flags,notes
Groundhog Buddy Doll,groundhog buddy doll,https://buddy.farm/i/groundhog-buddy-doll/,https://buddy.farm/page-data/i/groundhog-buddy-doll/page-data.json,groundhog-buddy-doll__groundhog-buddy-doll.json,skip_fresh,200,sources_blank,2026-06-04T21:57:44.440Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Present 02,present 02,https://buddy.farm/i/present-02/,https://buddy.farm/page-data/i/present-02/page-data.json,present-02__present-02.json,skip_fresh,200,sources_blank,2026-06-04T21:57:44.440Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Peculiar Gem,peculiar gem,https://buddy.farm/i/peculiar-gem/,https://buddy.farm/page-data/i/peculiar-gem/page-data.json,peculiar-gem__peculiar-gem.json,skip_fresh,200,sources_blank,2026-06-04T22:11:27.866Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Apple Belt,apple belt,https://buddy.farm/i/apple-belt/,https://buddy.farm/page-data/i/apple-belt/page-data.json,apple-belt__apple-belt.json,skip_fresh,200,sources_blank,2026-06-04T22:11:27.866Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Gold Laurel,gold laurel,https://buddy.farm/i/gold-laurel/,https://buddy.farm/page-data/i/gold-laurel/page-data.json,gold-laurel__gold-laurel.json,skip_fresh,200,sources_blank,2026-06-04T22:11:27.866Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Fossilized Print,fossilized print,https://buddy.farm/i/fossilized-print/,https://buddy.farm/page-data/i/fossilized-print/page-data.json,fossilized-print__fossilized-print.json,skip_fresh,200,sources_blank,2026-06-04T22:11:27.866Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Reaver Claw,reaver claw,https://buddy.farm/i/reaver-claw/,https://buddy.farm/page-data/i/reaver-claw/page-data.json,reaver-claw__reaver-claw.json,skip_fresh,200,sources_blank,2026-06-04T22:11:27.866Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Bunny Ears,bunny ears,https://buddy.farm/i/bunny-ears/,https://buddy.farm/page-data/i/bunny-ears/page-data.json,bunny-ears__bunny-ears.json,skip_fresh,200,sources_blank,2026-06-04T22:11:27.866Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Gold Apple,gold apple,https://buddy.farm/i/gold-apple/,https://buddy.farm/page-data/i/gold-apple/page-data.json,gold-apple__gold-apple.json,skip_fresh,200,sources_blank,2026-06-04T22:25:43.956Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Odthorin's Charm,odthorin's charm,https://buddy.farm/i/odthorin-s-charm/,https://buddy.farm/page-data/i/odthorin-s-charm/page-data.json,odthorin-s-charm__odthorin-s-charm.json,skip_fresh,200,sources_blank,2026-06-04T22:25:43.956Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Winter Basket,winter basket,https://buddy.farm/i/winter-basket/,https://buddy.farm/page-data/i/winter-basket/page-data.json,winter-basket__winter-basket.json,skip_fresh,200,sources_blank,2026-06-04T22:25:43.956Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Eggypalchi,eggypalchi,https://buddy.farm/i/eggypalchi/,https://buddy.farm/page-data/i/eggypalchi/page-data.json,eggypalchi__eggypalchi.json,skip_fresh,200,sources_blank,2026-06-04T22:25:43.956Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe new item; cache Buddy page evidence when available.; Cached evidence is newer than 30 days.
Event Token Purse,event token purse,https://buddy.farm/i/event-token-purse/,https://buddy.farm/page-data/i/event-token-purse/page-data.json,event-token-purse__event-token-purse.json,skip_fresh,200,sources_blank,2026-06-04T22:25:43.956Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Coderanger's Missing Semicolon,coderanger's missing semicolon,https://buddy.farm/i/coderanger-s-missing-semicolon/,https://buddy.farm/page-data/i/coderanger-s-missing-semicolon/page-data.json,coderanger-s-missing-semicolon__coderanger-s-missing-semicolon.json,skip_fresh,200,sources_blank,2026-06-04T22:25:43.956Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Trigon Knot,trigon knot,https://buddy.farm/i/trigon-knot/,https://buddy.farm/page-data/i/trigon-knot/page-data.json,trigon-knot__trigon-knot.json,skip_fresh,200,sources_blank,2026-06-04T22:25:43.956Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Gold Mittens,gold mittens,https://buddy.farm/i/gold-mittens/,https://buddy.farm/page-data/i/gold-mittens/page-data.json,gold-mittens__gold-mittens.json,skip_fresh,200,sources_blank,2026-06-04T22:27:48.571Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
We Know Card,we know card,https://buddy.farm/i/we-know-card/,https://buddy.farm/page-data/i/we-know-card/page-data.json,we-know-card__we-know-card.json,skip_fresh,200,sources_blank,2026-06-04T22:27:48.571Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Parade Balloon Buddy Doll,parade balloon buddy doll,https://buddy.farm/i/parade-balloon-buddy-doll/,https://buddy.farm/page-data/i/parade-balloon-buddy-doll/page-data.json,parade-balloon-buddy-doll__parade-balloon-buddy-doll.json,skip_fresh,200,sources_blank,2026-06-04T22:27:48.571Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Runestone 27,runestone 27,https://buddy.farm/i/runestone-27/,https://buddy.farm/page-data/i/runestone-27/page-data.json,runestone-27__runestone-27.json,skip_fresh,200,sources_blank,2026-06-04T22:27:48.571Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Summer Basket,summer basket,https://buddy.farm/i/summer-basket/,https://buddy.farm/page-data/i/summer-basket/page-data.json,summer-basket__summer-basket.json,skip_fresh,200,sources_blank,2026-06-04T22:27:48.571Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Bear Buddy Doll,bear buddy doll,https://buddy.farm/i/bear-buddy-doll/,https://buddy.farm/page-data/i/bear-buddy-doll/page-data.json,bear-buddy-doll__bear-buddy-doll.json,skip_fresh,200,sources_blank,2026-06-04T22:27:48.571Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Ashes of Pentagorn,ashes of pentagorn,https://buddy.farm/i/ashes-of-pentagorn/,https://buddy.farm/page-data/i/ashes-of-pentagorn/page-data.json,ashes-of-pentagorn__ashes-of-pentagorn.json,skip_fresh,200,sources_blank,2026-06-04T22:29:53.475Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Unusual Gem,unusual gem,https://buddy.farm/i/unusual-gem/,https://buddy.farm/page-data/i/unusual-gem/page-data.json,unusual-gem__unusual-gem.json,skip_fresh,200,sources_blank,2026-06-04T22:29:53.475Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Tenfoo's Lost Sock,tenfoo's lost sock,https://buddy.farm/i/tenfoo-s-lost-sock/,https://buddy.farm/page-data/i/tenfoo-s-lost-sock/page-data.json,tenfoo-s-lost-sock__tenfoo-s-lost-sock.json,skip_fresh,200,sources_blank,2026-06-04T22:29:53.475Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Sinkroot,sinkroot,https://buddy.farm/i/sinkroot/,https://buddy.farm/page-data/i/sinkroot/page-data.json,sinkroot__sinkroot.json,skip_fresh,200,sources_blank,2026-06-04T22:29:53.475Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Book of Spells,book of spells,https://buddy.farm/i/book-of-spells/,https://buddy.farm/page-data/i/book-of-spells/page-data.json,book-of-spells__book-of-spells.json,skip_fresh,200,sources_blank,2026-06-04T22:29:53.475Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Lobster,lobster,https://buddy.farm/i/lobster/,https://buddy.farm/page-data/i/lobster/page-data.json,lobster__lobster.json,skip_fresh,200,sources_blank,2026-06-04T22:31:58.760Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Gingerbread Buddy Doll,gingerbread buddy doll,https://buddy.farm/i/gingerbread-buddy-doll/,https://buddy.farm/page-data/i/gingerbread-buddy-doll/page-data.json,gingerbread-buddy-doll__gingerbread-buddy-doll.json,skip_fresh,200,sources_blank,2026-06-04T22:31:58.760Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Fossilized Frog,fossilized frog,https://buddy.farm/i/fossilized-frog/,https://buddy.farm/page-data/i/fossilized-frog/page-data.json,fossilized-frog__fossilized-frog.json,skip_fresh,200,sources_blank,2026-06-04T22:31:58.760Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Green Apple,green apple,https://buddy.farm/i/green-apple/,https://buddy.farm/page-data/i/green-apple/page-data.json,green-apple__green-apple.json,skip_fresh,200,sources_blank,2026-06-04T22:31:58.760Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Pyredrop,pyredrop,https://buddy.farm/i/pyredrop/,https://buddy.farm/page-data/i/pyredrop/page-data.json,pyredrop__pyredrop.json,skip_fresh,200,sources_blank,2026-06-04T22:34:03.273Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Sunstone,sunstone,https://buddy.farm/i/sunstone/,https://buddy.farm/page-data/i/sunstone/page-data.json,sunstone__sunstone.json,skip_fresh,200,sources_blank,2026-06-04T22:34:03.273Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Beach Ball,beach ball,https://buddy.farm/i/beach-ball/,https://buddy.farm/page-data/i/beach-ball/page-data.json,beach-ball__beach-ball.json,skip_fresh,200,sources_blank,2026-06-04T22:34:03.273Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Frozen Chest 01,frozen chest 01,https://buddy.farm/i/frozen-chest-01/,https://buddy.farm/page-data/i/frozen-chest-01/page-data.json,frozen-chest-01__frozen-chest-01.json,skip_fresh,200,sources_blank,2026-06-04T22:36:08.005Z,2,sources_blank,2026-07-02,Buddy page currently has no known non-empty source sections.,"Wait until the suggested date, then recheck in a bounded manual cache run.",sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
